object,id,ra,dec,i_mag,g_mag,bp_rp,excess_noise,i_mag1
OGLE-BLG-0002,4091118596187307264,276.30059669703104,-21.062154504923527,17.2031307220459,18.34422492980957,1.9999027252197263,0.7283310294151306,17.224849624744024
OGLE-BLG-0002,4091118600485220224,276.3013206294735,-21.06208902506514,13.592287063598633,14.704068183898926,1.9209842681884768,0.0,13.613441244931321
OGLE-BLG-0002,4091118596187303808,276.3018723260221,-21.06181799588988,14.657407760620115,15.773116111755373,1.931365966796875,0.1127865612506866,14.678638806862377
OGLE-BLG-0002,4091118596125382656,276.30016042965696,-21.060280713957447,16.192495346069336,17.394851684570312,2.176921844482422,0.368579089641571,16.215355371481603
OGLE-BLG-0002,4091118600485213056,276.3003453962416,-21.064807992157423,17.33714485168457,18.535356521606445,2.1643543243408203,0.6077473759651184,17.3599294671309
OGLE-BLG-0002,4091118596125362688,276.29927012230013,-21.064453703520016,15.85042667388916,16.696245193481445,1.315509796142578,0.2430467158555984,15.866089289470349
OGLE-BLG-0002,4091118596187338752,276.29807584481244,-21.06041173203764,18.28772735595703,19.578887939453125,2.4738121032714844,1.4398103952407837,18.312109508336
OGLE-BLG-0002,4091118596187344512,276.3041936953353,-21.061906382939267,18.4983024597168,19.64217185974121,2.007547378540039,1.370831847190857,18.520075497810218
OGLE-BLG-0002,4091118600425477376,276.3016349687033,-21.065270168764947,17.432472229003906,18.478147506713867,1.7539730072021484,0.9441946148872375,17.45231506903609
OGLE-BLG-0002,4091118596187315328,276.2972488134498,-21.06195286667936,17.668392181396484,18.692047119140625,1.7012405395507812,2.3587961196899414,17.68778903070112
OGLE-BLG-0002,4091118531765726208,276.3035711725633,-21.06451919624641,12.56528091430664,13.757497787475586,2.146341323852539,0.0,12.587956244977514
OGLE-BLG-0002,4091118600508675968,276.30157024131023,-21.05853315026063,18.194786071777344,19.38559341430664,2.142129898071289,2.854729175567627,18.217436914302866
OGLE-BLG-0002,4091118630485130752,276.3032982708733,-21.059193828235355,14.985517501831056,16.12103843688965,1.984638214111328,0.1716751009225845,15.007130099108593
OGLE-BLG-0002,4091118600485228416,276.3026672431619,-21.058762562065613,17.574071884155273,18.61726188659668,1.7479534149169922,0.7299047708511353,17.593865153332505
OGLE-BLG-0002,4091118527467915520,276.3047023718434,-21.06297162575753,17.677818298339844,18.656211853027344,1.5967521667480469,0.7736141085624695,17.69628508020979
OGLE-BLG-0002,4091118596125382784,276.2972504282444,-21.06010042208285,16.95512580871582,18.01685333251953,1.7932701110839844,0.6472915410995483,16.975291638956115
OGLE-BLG-0002,4091118630547042432,276.30400454319823,-21.05949622578516,14.787527084350586,15.957531929016112,2.081210136413574,0.1926645189523697,14.80979269452019
OGLE-BLG-0002,4091118531765724800,276.304366770236,-21.064190809819227,15.406282424926758,16.528982162475586,1.9499931335449217,0.1658184379339218,15.427648452600824
OGLE-BLG-0002,4091118836679240832,276.3023773222668,-21.044621252839715,18.10252571105957,19.33367347717285,2.267005920410156,0.1333267092704773,18.125899293676714
OGLE-BLG-0002,4091118836679239936,276.2989744962259,-21.04541099677784,17.62090492248535,18.673282623291016,1.7702884674072266,0.0,17.640883565663685
OGLE-BLG-0002,4091118634845012736,276.30154159540814,-21.04695819635758,18.468217849731445,19.547855377197266,1.8380279541015625,1.846058011054993,18.488741014510577
OGLE-BLG-0002,4091118841003461248,276.29853266132625,-21.044908703123493,18.10848045349121,19.19919204711914,1.8662147521972656,0.7973806262016296,18.129221697415993
OGLE-BLG-0002,4091118630493963648,276.3005812516239,-21.04779587755825,17.302053451538086,18.51587104797364,2.212179183959961,3.7897422313690186,17.32512109701054
OGLE-BLG-0002,4091118840943806336,276.297932739367,-21.045557380828352,18.39590835571289,19.47830581665039,1.845014572143555,1.6145451068878174,18.416486332052745
OGLE-BLG-0002,4091118836705486336,276.3029705127254,-21.043054345077305,18.041393280029297,19.22544860839844,2.1221237182617188,1.8804861307144165,18.06391834989197
OGLE-BLG-0002,4091118836705484928,276.29950208530056,-21.042435106694807,17.98324966430664,19.14960479736328,2.07073974609375,0.2697251141071319,18.005446705517137
OGLE-BLG-0002,4091118630485176832,276.3030669937484,-21.04801232122187,13.49375820159912,14.967930793762209,3.765561103820801,0.3036022782325744,13.519033881424185
OGLE-BLG-0002,4091118841003468160,276.29715345642586,-21.04484169694675,18.138408660888672,19.206153869628903,1.808198928833008,0.0,18.15869465832958
OGLE-BLG-0002,4091118634845012864,276.2990591235042,-21.04867131899223,18.171878814697266,19.34290313720703,2.084148406982422,1.413465976715088,18.19416273309072
OGLE-BLG-0002,4091118840943819904,276.3003159459489,-21.04143371847238,17.951799392700195,19.15052604675293,2.1659088134765625,1.3396739959716797,17.974594012817402
OGLE-BLG-0002,4091118836652393600,276.2972619655302,-21.04782507273196,17.352359771728516,18.639179229736328,2.4578094482421875,0.4109536707401275,17.37667247579483
OGLE-BLG-0002,4091118630547057024,276.30511353598104,-21.04640429675368,17.658245086669922,18.999242782592773,2.6732215881347656,1.3037787675857544,17.68337189287986
OGLE-BLG-0002,4091118630520809216,276.30268344608857,-21.049277578619183,15.137351036071776,16.07925796508789,1.5159435272216797,0.1850404590368271,15.15505800718485
OGLE-BLG-0002,4091118840943831680,276.2986158269442,-21.041253470963216,17.64688491821289,18.626840591430664,1.6002769470214844,0.0,17.665384084678813
OGLE-BLG-0002,4091118841003478016,276.29710460314595,-21.042218604017368,18.33150863647461,19.39159393310547,1.7892169952392578,0.9020456671714784,18.35164080232993
OGLE-BLG-0002,4091124712158945920,276.29994581573936,-21.029573362098937,17.4222354888916,18.50421142578125,1.84394645690918,0.3395993411540985,17.442804891797472
OGLE-BLG-0002,4091124716520568704,276.30317708422143,-21.029697678294543,18.22360610961914,19.33792304992676,1.927682876586914,0.4206150472164154,18.244809353959358
OGLE-BLG-0002,4091124716520572416,276.3024534787148,-21.026484165311462,14.784128189086914,15.710870742797852,1.4831771850585938,0.2141524106264114,14.801515729695907
OGLE-BLG-0002,4091124716520570880,276.29925932842934,-21.031062049381507,17.955829620361328,18.974946975708008,1.690532684326172,0.0,17.975135199091426
OGLE-BLG-0002,4091124716462228736,276.2978880326854,-21.02986694564759,18.002504348754883,19.257305145263672,2.345081329345703,1.3007593154907229,18.02628714137848
OGLE-BLG-0002,4091124785240052480,276.298599354143,-21.0263571627031,18.4138240814209,19.375951766967773,1.560373306274414,3.058187246322632,18.431953014221456
OGLE-BLG-0002,4091124712213506816,276.30373112142803,-21.02711464334642,18.296762466430664,19.43953514099121,2.0045242309570312,1.0427393913269043,18.318513500115273
OGLE-BLG-0002,4091124716520568576,276.3043786726804,-21.0287662183503,15.47506332397461,16.6160945892334,1.999727249145508,0.3489408195018768,15.496781875717954
OGLE-BLG-0002,4091124712158952704,276.3041694958563,-21.029962973374616,16.05584716796875,17.011425018310547,1.5458869934082031,0.4064826667308807,16.07383987879919
OGLE-BLG-0002,4091124712213506560,276.30334007944674,-21.031252283788312,18.134519577026367,19.135278701782227,1.647756576538086,0.7602739930152893,18.153449545796988
OGLE-BLG-0002,4091124712213505536,276.3004170280085,-21.03221232387771,18.14693069458008,19.30053901672364,2.034646987915039,1.5611917972564695,18.168887433864203
OGLE-BLG-0002,4091124780913986176,276.2978128483957,-21.026389449559684,18.41024398803711,19.67672348022461,2.385181427001953,1.2035136222839355,18.434223679780818
OGLE-BLG-0002,4091124716462224768,276.3045422792122,-21.02738694063024,17.91726303100586,19.061004638671875,2.0071964263916016,5.311205387115479,17.93903294899057
OGLE-BLG-0002,4091124712158952832,276.3029008377607,-21.03189897720121,15.712272644042969,16.95775032043457,2.313826560974121,0.0,15.735896232797549
OGLE-BLG-0002,4091124716520570496,276.29861082674296,-21.031908810134137,18.48931121826172,19.508209228515625,1.6900177001953125,0.6766652464866638,18.508611849676537
OGLE-BLG-0002,4091124785240052864,276.2972647909101,-21.026799677018165,18.45400619506836,19.46706962585449,1.6763362884521484,1.1122024059295654,18.47318678728118
OGLE-BLG-0002,4091124780932982144,276.30009094360247,-21.024602937169806,18.270227432250977,19.33504676818848,1.8009262084960938,0.0,18.290455228030865
OGLE-BLG-0002,4091124716520571904,276.3042957631142,-21.02592662136992,16.968713760375977,18.13637351989746,2.0744762420654297,0.7612550258636475,16.99093502710339
OGLE-BLG-0002,4091124712194507904,276.30266325254547,-21.03272184911932,17.2523193359375,18.31075859069824,1.7851600646972656,0.5764687657356262,17.272418705433516
OGLE-BLG-0002,4091124716520572672,276.2970984664431,-21.03139034930529,16.619680404663086,17.770265579223633,2.026193618774414,0.5811286568641663,16.6415794419881
